"","text"
"34","Estimado @marioponcesv ... el pueblo aprecia el esfuerzo q haces apoyando el #PRESUPUESTO2020YA , el #PlanControlTerritorial y el voto electrónico en el exterior. Este es un proyecto de nación y del presidente @nayibbukele 

Para los q apoyan al pueblo en la @AsambleaSV   <U+0001F1F8><U+0001F1FB><U+0001F44D><U+0001F1F8><U+0001F1FB> https://t.co/CGeTwBwKf5"
"35","@RodolfoM_10 @DinaArguetasv  se les recuerda que ustedes trabajan para y por el Pueblo, su sueldo sale de los impuestos del pueblo, no son empleados del @FMLNoficial su voto TIENE que estar a favor del pueblo #PresupuestoYA #PRESUPUESTO2020YA"
"36","@AsambleaSV  por todas las familias que piensan que no hay más opciones que emigrar, por todo los jóvenes sin esperanza de un mejor futuro, por cada salvadoreño honrado y trabajador se necesita la aprobación del #Presupuesto2020Ya #PresupuestoYa"
"37","@AsambleaSV @marioponcesv  dicen que es la casa del pueblo, reciban al pueblo. #PRESUPUESTO2020YA"
"38","@AsambleaSV @marioponcesv @ARENAOFICIAL @FMLNoficial @PDC_OFICIAL  Escuchen al pueblo y obedezcan se les exige la aprobación del #PRESUPUESTO2020YA #PresupuestoYa"
"39","@norman_quijano @rodolfo_parker @ravelpak @Nidia_FMLN @AsambleaSV  #PRESUPUESTO2020YA #PresuuestoYa"
"40","La diáspora desde California exije:@AsambleaSV 
#PRESUPUESTO2020YA https://t.co/Th4SHec19t"
"41","#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
@ARENAOFICIAL @FMLNoficial"
"42","#PRESUPUESTO2020YA
@FMLNoficial @ARENAOFICIAL
Les guste o no, este día se aprueba el presupuesto del 2020"
"43","#PRESUPUESTO2020YA https://t.co/xLo33Ya6Vr"
"44","@marioponcesv abra el portón!!
#PRESUPUESTO2020YA https://t.co/drTmxkMitd"
"45","#PRESUPUESTO2020YA https://t.co/fUPAd7USDe"
"46","#PRESUPUESTO2020YA

@marioponcesv abran el portón!! https://t.co/xxHffx3GNq"
"47","#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
@ARENAOFICIAL @FMLNoficial @AsambleaSV"
